,IP,Throughput(MB/s),IP in 32 bit
0,1.33.172.30,0.11,00000001001000011010110000011110
1,100.42.49.232,0.41,01100100001010100011000111101000
2,101.0.119.44,0.06,01100101000000000111011100101100
3,101.99.75.132,0.15,01100101011000110100101110000100
4,102.133.174.201,0.68,01100110100001011010111011001001
5,102.67.136.82,0.4366666666666667,01100110010000111000100001010010
6,103.108.87.130,0.07,01100111011011000101011110000010
7,103.121.58.21,0.18,01100111011110010011101000010101
8,103.13.31.217,0.41,01100111000011010001111111011001
9,103.132.98.201,0.18,01100111100001000110001011001001
10,103.14.192.47,0.12,01100111000011101100000000101111
11,103.142.5.253,0.5,01100111100011100000010111111101
12,103.16.220.10,0.12,01100111000100001101110000001010
13,103.17.108.134,0.44,01100111000100010110110010000110
14,103.17.108.148,0.19,01100111000100010110110010010100
15,103.17.76.11,0.5700000000000001,01100111000100010100110000001011
16,103.18.3.42,0.8,01100111000100100000001100101010
17,103.20.233.88,0.6,01100111000101001110100101011000
18,103.211.49.158,0.31,01100111110100110011000110011110
19,103.227.176.16,0.15,01100111111000111011000000010000
20,103.228.17.18,0.44,01100111111001000001000100010010
21,103.23.100.60,0.15,01100111000101110110010000111100
22,103.242.99.27,0.17,01100111111100100110001100011011
23,103.244.124.138,0.07,01100111111101000111110010001010
24,103.244.230.120,0.14400000000000002,01100111111101001110011001111000
25,103.25.53.130,0.17,01100111000110010011010110000010
26,103.253.68.37,0.29,01100111111111010100010000100101
27,103.254.155.182,1.09,01100111111111101001101110110110
28,103.255.172.174,0.1,01100111111111111010110010101110
29,103.27.32.36,0.105,01100111000110110010000000100100
30,103.27.74.33,0.44,01100111000110110100101000100001
31,103.27.9.172,0.3,01100111000110110000100110101100
32,103.37.8.149,0.07,01100111001001010000100010010101
33,103.4.188.121,0.355,01100111000001001011110001111001
34,103.4.188.86,0.2833333333333333,01100111000001001011110001010110
35,103.46.218.18,0.218,01100111001011101101101000010010
36,103.46.218.7,0.9933333333333332,01100111001011101101101000000111
37,103.47.185.214,0.3833333333333333,01100111001011111011100111010110
38,103.48.16.240,0.22,01100111001100000001000011110000
39,103.48.16.30,0.16,01100111001100000001000000011110
40,103.5.148.46,0.12,01100111000001011001010000101110
41,103.50.160.62,0.34,01100111001100101010000000111110
42,103.52.91.1,0.25,01100111001101000101101100000001
43,103.53.197.63,0.26,01100111001101011100010100111111
44,103.6.196.51,0.12,01100111000001101100010000110011
45,103.6.198.16,0.41,01100111000001101100011000010000
46,103.6.245.189,2.39,01100111000001101111010110111101
47,103.68.208.67,0.29,01100111010001001101000001000011
48,103.78.213.8,0.2,01100111010011101101010100001000
49,103.8.161.141,0.05,01100111000010001010000110001101
50,103.8.162.235,0.14,01100111000010001010001011101011
51,103.8.25.128,5.41,01100111000010000001100110000000
52,103.81.69.22,0.29,01100111010100010100010100010110
53,103.84.116.22,0.905,01100111010101000111010000010110
54,103.9.227.35,0.43,01100111000010011110001100100011
55,103.94.135.216,0.96,01100111010111101000011111011000
56,103.98.64.5,0.32,01100111011000100100000000000101
57,103.99.43.9,0.175,01100111011000110010101100001001
58,104.103.159.113,1.86,01101000011001111001111101110001
59,104.118.23.47,6.11,01101000011101100001011100101111
60,104.123.90.4,4.05,01101000011110110101101000000100
61,104.123.91.80,2.32,01101000011110110101101101010000
62,104.130.101.147,1.4,01101000100000100110010110010011
63,104.130.69.206,0.76,01101000100000100100010111001110
64,104.154.167.26,0.45,01101000100110101010011100011010
65,104.156.59.2,1.37,01101000100111000011101100000010
66,104.16.81.76,0.32,01101000000100000101000101001100
67,104.161.44.139,0.38,01101000101000010010110010001011
68,104.168.156.112,0.23,01101000101010001001110001110000
69,104.17.150.188,0.17,01101000000100011001011010111100
70,104.17.215.6,0.61,01101000000100011101011100000110
71,104.17.22.109,0.57,01101000000100010001011001101101
72,104.18.122.106,2.75,01101000000100100111101001101010
73,104.18.14.153,1.72,01101000000100100000111010011001
74,104.18.165.96,0.7,01101000000100101010010101100000
75,104.18.214.83,1.26,01101000000100101101011001010011
76,104.18.25.107,2.14,01101000000100100001100101101011
77,104.18.25.25,6.8,01101000000100100001100100011001
78,104.18.36.45,29.1,01101000000100100010010000101101
79,104.18.37.14,2.48,01101000000100100010010100001110
80,104.18.38.43,0.19,01101000000100100010011000101011
81,104.18.39.100,3.54,01101000000100100010011101100100
82,104.18.39.228,6.2,01101000000100100010011111100100
83,104.18.42.90,0.42,01101000000100100010101001011010
84,104.18.43.90,0.34,01101000000100100010101101011010
85,104.18.47.218,2.68,01101000000100100010111111011010
86,104.18.48.248,13.8,01101000000100100011000011111000
87,104.18.52.119,41.3,01101000000100100011010001110111
88,104.18.52.92,37.0,01101000000100100011010001011100
89,104.18.53.157,17.6,01101000000100100011010110011101
90,104.18.53.19,8.91,01101000000100100011010100010011
91,104.18.56.202,21.9,01101000000100100011100011001010
92,104.192.28.150,0.31,01101000110000000001110010010110
93,104.193.172.147,4.79,01101000110000011010110010010011
94,104.193.174.61,0.645,01101000110000011010111000111101
95,104.197.196.18,0.95,01101000110001011100010000010010
96,104.199.112.175,0.635,01101000110001110111000010101111
97,104.20.11.195,1.7000000000000002,01101000000101000000101111000011
98,104.20.39.52,3.125,01101000000101000010011100110100
99,104.20.49.93,4.81,01101000000101000011000101011101
100,104.20.74.101,0.62,01101000000101000100101001100101
101,104.210.5.96,3.94,01101000110100100000010101100000
102,104.210.72.230,0.09,01101000110100100100100011100110
103,104.211.184.215,0.1,01101000110100111011100011010111
104,104.214.110.60,0.41,01101000110101100110111000111100
105,104.218.54.134,1.095,01101000110110100011011010000110
106,104.22.0.111,1.78,01101000000101100000000001101111
107,104.22.12.128,1.15,01101000000101100000110010000000
108,104.232.38.112,4.91,01101000111010000010011001110000
109,104.236.165.234,4.07,01101000111011001010010111101010
110,104.236.178.139,0.14,01101000111011001011001010001011
111,104.237.137.57,0.56,01101000111011011000100100111001
112,104.237.153.202,1.31,01101000111011011001100111001010
113,104.238.111.218,0.41,01101000111011100110111111011010
114,104.24.100.153,56.0,01101000000110000110010010011001
115,104.24.100.45,1.5,01101000000110000110010000101101
116,104.24.100.73,1.14,01101000000110000110010001001001
117,104.24.102.119,1.415,01101000000110000110011001110111
118,104.24.103.119,1.69,01101000000110000110011101110111
119,104.24.104.187,3.68,01101000000110000110100010111011
120,104.24.108.217,1.36,01101000000110000110110011011001
121,104.24.109.154,37.0,01101000000110000110110110011010
122,104.24.112.110,3.1,01101000000110000111000001101110
123,104.24.112.87,0.53,01101000000110000111000001010111
124,104.24.114.100,7.47,01101000000110000111001001100100
125,104.24.114.235,1.45,01101000000110000111001011101011
126,104.24.120.253,9.53,01101000000110000111100011111101
127,104.24.122.148,0.75,01101000000110000111101010010100
128,104.24.124.182,1.0,01101000000110000111110010110110
129,104.24.126.11,0.39,01101000000110000111111000001011
130,104.24.127.11,1.72,01101000000110000111111100001011
131,104.24.127.61,21.4,01101000000110000111111100111101
132,104.24.96.62,2.45,01101000000110000110000000111110
133,104.24.97.58,9.6,01101000000110000110000100111010
134,104.24.98.209,5.18,01101000000110000110001011010001
135,104.24.99.166,28.3,01101000000110000110001110100110
136,104.24.99.35,0.53,01101000000110000110001100100011
137,104.244.121.253,12.1,01101000111101000111100111111101
138,104.244.125.235,0.91,01101000111101000111110111101011
139,104.25.11.116,3.45,01101000000110010000101101110100
140,104.25.14.6,0.775,01101000000110010000111000000110
141,104.25.15.6,0.4,01101000000110010000111100000110
142,104.25.241.7,0.64,01101000000110011111000100000111
143,104.255.216.35,0.88,01101000111111111101100000100011
144,104.26.1.103,7.19,01101000000110100000000101100111
145,104.26.11.130,1.71,01101000000110100000101110000010
146,104.26.11.190,0.73,01101000000110100000101110111110
147,104.26.13.60,0.9233333333333332,01101000000110100000110100111100
148,104.26.13.89,7.17,01101000000110100000110101011001
149,104.26.14.10,4.16,01101000000110100000111000001010
150,104.26.14.193,9.53,01101000000110100000111011000001
151,104.26.14.242,2.65,01101000000110100000111011110010
152,104.26.15.16,3.73,01101000000110100000111100010000
153,104.26.15.39,4.5,01101000000110100000111100100111
154,104.26.5.93,5.75,01101000000110100000010101011101
155,104.27.129.145,4.37,01101000000110111000000110010001
156,104.27.129.247,0.52,01101000000110111000000111110111
157,104.27.131.158,0.11,01101000000110111000001110011110
158,104.27.134.103,1.88,01101000000110111000011001100111
159,104.27.134.67,1.21,01101000000110111000011001000011
